old_clause_id,old_short_title,new_clause_id,new_short_title,note,confidence,action,owner,status,last_updated
6.26,Requirements for CVN Toughness Testing,TBD,CVN Toughness Testing Requirements,"STRATEGIC NOTE: All CVN requirements consolidated into Table 6.7. Crucial update for WPS curriculum and Exam DB. Update all training materials referencing CVN testing procedures.",high,update_curriculum,#awsd1.1,pending,2025-11-02
8.16,Radiographic Testing (RT),TBD,Radiographic Testing Procedures,"Digital radiography added; methodology/equation revised to align with ASME Section V Article 2. Key Clause 8 impact. Update all RT instruction modules and add digital RT primer.",high,update_curriculum_add_module,#awsd1.1,pending,2025-11-02
6.8.1,WPS Requalification Essential Variables,TBD,PQR Essential Variable Changes,"Clarification and revision of requirements for qualification of WPSs using waveform technology. LMS update required. Add waveform tech decision tree.",high,update_lms,#awsd1.1,pending,2025-11-02
5.8,Prequalified Minimum Preheat and Interpass Temperature,TBD,Prequalified Minimum Preheat,"New materials added to Table 5.8. Directly impacts CWI instruction on material control (Clause 5). Update all preheat lookup exercises and flashcards.",high,update_tables_flashcards,#awsd1.1,pending,2025-11-02
4.7,N/A (new),TBD,Load and Resistance Factor Design (LRFD),"New subclause 4.7 added covering LRFD for available strength. Significant strategic update for Clause 4 Design content. Create new module covering LRFD principles.",high,create_new_module,#awsd1.1,pending,2025-11-02
8.14.6.2,Certification NDT personnel,TBD,Qualification of Inspection Personnel,"Changes to qualification requirements for inspection personnel. Essential update for CWI responsibility instruction. Clarify Engineer vs CWI roles.",high,update_curriculum,#awsd1.1,pending,2025-11-02
6.12,PJP Groove Welds for Nontubular Connections,TBD,PJP Groove Weld Qualification,"Clause reorganized to clarify qualification using Figure 5.2 joint details. Update Flashcards/LMS content. Add visual examples with Figure 5.2 cross-references.",high,update_flashcards_lms,#awsd1.1,pending,2025-11-02
Annex H,N/A (new normative),TBD,Phased Array Ultrasonic Testing (PAUT),"New Normative Annex H added for PAUT requirements and procedures. Mandatory content update for NDT (Clause 8 impact). Create comprehensive PAUT module.",high,create_new_module_normative,#awsd1.1,pending,2025-11-02
N/A,N/A (new),TBD,Type D Stud Provisions,"New provisions added for Type D studs. Check Clause 9 crosswalk. Add stud welding decision matrix including new Type D.",medium,update_clause_9,#awsd1.1,pending,2025-11-02
5.2.3,Filler Metal Requirements,TBD,Filler Metal Provisions,"AWS A5.36 filler metal classifications removed throughout standard. Must update ClauseBot and Exam DB. Remove all A5.36 references from curriculum; redirect to current AWS A5 specs.",high,update_clausebot_examdb,#awsd1.1,pending,2025-11-02
4.X,Tubular Connections Static Load Design,TBD,Reference to AISC Standards,"Removal of static-strength tubular calculations; now references AISC standards. Add AISC cross-reference primer; teach candidates where to find structural calculations.",high,create_aisc_module,#awsd1.1,pending,2025-11-02
5.X,Essential Variables for Prequalification,TBD,Reorganized Essential Variables,"Essential variables reorganized for clarity. Update all WPS prequalification decision trees and exercises.",medium,update_decision_trees,#awsd1.1,pending,2025-11-02
5.X,Shielding Gas Requirements,TBD,Updated Shielding Gas Table,"New shielding gas table added with expanded material coverage. Update gas selection exercises and flashcards.",high,update_tables_flashcards,#awsd1.1,pending,2025-11-02
6.X,Waveform Technology Requirements,TBD,Waveform Tech Qualification,"New requirements for waveform technology qualification added. Create waveform technology lab exercise and qualification examples.",high,create_lab_exercise,#awsd1.1,pending,2025-11-02
6.X,CVN Impact Testing,TBD,Consolidated CVN Requirements,"CVN requirements consolidated into Table 6.7; retest clarifications added. Update all CVN/toughness testing modules; add retest decision tree.",high,update_curriculum_add_tree,#awsd1.1,pending,2025-11-02
8.X,Digital Radiography Acceptance,TBD,Digital RT Criteria,"Digital radiography acceptance criteria and limitations added. Create digital RT interpretation module with image metadata examples.",high,create_digital_rt_module,#awsd1.1,pending,2025-11-02
8.X,Geometric Unsharpness Calculation,TBD,Updated Unsharpness Equation,"Geometric unsharpness equation updated. Update all RT calculation exercises with new formula.",medium,update_calculations,#awsd1.1,pending,2025-11-02
8.X,Inspector Responsibilities,TBD,Clarified Inspector vs Engineer Roles,"Clarification of inspector qualification updates; separation of Engineer vs CWI responsibilities. Update responsibility matrix in CWI module.",high,update_responsibility_matrix,#awsd1.1,pending,2025-11-02
Annex X,Informative Annex,TBD,Normative vs Informative Status,"Review all annexes for normative vs informative status changes. Ensure ClauseBot flags normative annexes correctly.",medium,update_clausebot_logic,#awsd1.1,pending,2025-11-02
Table 5.3,Prequalified Base Metals,TBD,Updated Base Metal Table,"New materials added to Table 5.3 (prequalified base metals). Update material selection exercises; add new materials to flashcards.",high,update_tables_flashcards,#awsd1.1,pending,2025-11-02

